Title,Date
"The Pale Blue Eye","1/9/23"
"How It Ends","12/23/22"
"Seven Seconds: Limited Series: That What Follows","12/14/22"
"The Bridge: Season 1: Episode 1","12/14/22"
"Seven Seconds: Limited Series: Matters of Life and Death","12/13/22"
"Seven Seconds: Limited Series: Brenton's Breath","12/13/22"
"Seven Seconds: Limited Series: Pilot","12/12/22"
"Ancient Apocalypse: Sirius Rising","11/12/22"
"Ancient Apocalypse: Survivor in a Time of Chaos","11/12/22"
"Ancient Apocalypse: Once There Was a Flood","11/11/22"
"The Good Doctor: Season 1: Burnt Food","11/11/22"
"History 101: Season 1: Robots","11/11/22"
"History 101: Season 2: Dating Apps","11/11/22"
"History 101: Season 2: GPS","11/11/22"
"Catching Killers: Season 2: Bind. Torture. Kill: BTK","11/11/22"
"Earthstorm: Tornado","11/8/22"
"Luther: Series 4: Episode 2","11/6/22"
"Inside the Mind of a Cat","11/1/22"
"Guillermo del Toro's Cabinet of Curiosities: Lot 36","11/1/22"
"Luther: Series 4: Episode 1","10/23/22"
"Luther: Series 3: Episode 4","10/23/22"
"Luther: Series 2: Episode 4","10/23/22"
"Luther: Series 2: Episode 1","10/23/22"
"Unsolved Mysteries: Volume 2: Washington Insider Murder","10/23/22"
"Unsolved Mysteries: Volume 3: Body in Bags","10/23/22"
"Unsolved Mysteries: Volume 3: Something in the Sky","10/23/22"
"In the Shadow of the Moon","10/22/22"
"Into the Deep: The Submarine Murder Case","10/22/22"
"Unsolved Mysteries: Volume 3: Mystery at Mile Marker 45","10/21/22"
"High Water: Episode 1","10/21/22"
"Inside the World’s Toughest Prisons: Season 3: Colombia: Narco Prison","10/16/22"
"Inside the World’s Toughest Prisons: Season 2: Brazil: The Gang Prison","10/16/22"
"Minions & More Volume 1","10/15/22"
"Inside the World’s Toughest Prisons: Season 4: Germany: The Therapy Prison","10/1/22"
"Inside the World’s Toughest Prisons: Season 6: Cyprus: The Utopian Prison","10/1/22"
"Inside the World’s Toughest Prisons: Season 6: Moldova: The Lifers Prison","10/1/22"
"Inside the World’s Toughest Prisons: Season 6: Greece: The People Smugglers Prison","10/1/22"
"Cult of Chucky","9/3/22"
"Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback","8/21/22"
"Stranger Things: Stranger Things 4: Chapter Eight: Papa","8/21/22"
"High Heat: Dreaming of Fire","8/20/22"
"The Gray Man","8/20/22"
"The Devil's Advocate","8/20/22"
"Good Morning, Verônica: Season 2: Doúm","8/18/22"
"Good Morning, Verônica: Season 2: The Silence of the Innocent","8/18/22"
"Good Morning, Verônica: Season 2: Truth or Dare","8/17/22"
"Good Morning, Verônica: Season 2: Between Heaven and Hell","8/16/22"
"Good Morning, Verônica: Season 2: A Wolf in Sheep's Clothing","8/16/22"
"Good Morning, Verônica: Season 2: Winning and Losing","8/16/22"
"Keep Breathing: Limited Series: Hierarchy of Needs","7/29/22"
"Keep Breathing: Limited Series: Fire & Water","7/29/22"
"Keep Breathing: Limited Series: Arrivals","7/29/22"
"Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab","7/17/22"
"Stranger Things: Stranger Things 4: Chapter Six: The Dive","7/17/22"
"Stranger Things: Stranger Things 4: Chapter Five: The Nina Project","7/17/22"
"Stranger Things: Stranger Things 4: Chapter Four: Dear Billy","7/17/22"
"Stranger Things: Stranger Things 4: Chapter Three: The Monster and the Superhero","7/17/22"
"Stranger Things: Stranger Things 4: Chapter Two: Vecna's Curse","7/16/22"
"Manifest: Season 1: Vanishing Point","7/16/22"
"The Longest Night: Episode 1","7/16/22"
"Shutter Island","7/16/22"
"Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club","7/16/22"
"Stranger Things: Chapter One: The Vanishing of Will Byers","7/16/22"
"Oats Studios: Rakka","7/9/22"
"The Interpreter","7/9/22"
"Into the Night: Season 1: Jakub","7/2/22"
"Into the Night: Season 1: Sylvie","7/2/22"
"The Blacklist: Season 2: Dr. James Covington (No. 89)","6/20/22"
